"","month","avg.max.flow","avg.date.max.flow","avg.monthly.fall.rate","avg.monthly.rise.rate","avg.reversals","avg.inflows","avg.days.over.10k","avg.days.over.15k","avg.days.over.20k","avg.days.over.30k"
"1","3",11687.5,80.5,106.25,37.5,10.5,8161.08870967741,2.5,1.5,1.25,0
"2","4",14107.5,108,230,88.75,10.5,6851.70833333334,10.25,3.25,2.25,0
"3","5",7020,134.75,82.5,58.75,10.25,5388.66935483871,4,0,0,0
"4","6",5812.5,165.25,58.75,50,10.25,1884.18333333333,0,0,0,0
